date_utc,exchange,txid,source,event_type,base_ccy,quote_ccy,side,qty_base,qty_quote,price_quote_per_base,fee,fee_ccy,eur_amount,eur_fee,notes,date,quote_ccy_raw,fee_ccy_raw,quote_ccy_rate,fee_ccy_rate,eur_per_quote,eur_per_fee,base_ccy_raw,base_ccy_rate,eur_per_base
2024-12-31 11:15:00+00:00,binance,f9e07b37be288f8a,trades,trade,BTC,USDT,sell,-6e-05,5.6461704,94102.84,0.00564617,USDT,5.43475830093612,0.0054347579159135,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,38b3943525675a9f,trades,trade,BTC,USDT,sell,-0.12957,12193.0539843,94103.99,12.19305398,USDT,11736.503977091563,11.736503972952569,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,2ccb8fb10e6abfde,trades,trade,BTC,USDT,sell,-0.0024,225.84957599999998,94103.99,0.22584958,USDT,217.39298869352277,0.217392992543749,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,724a398d3b19e5f1,trades,trade,BTC,USDT,sell,-6e-05,5.6461386,94102.31,0.00564614,USDT,5.434727691637829,0.0054347290392169996,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,75c3d701cf0467dd,trades,trade,BTC,USDT,sell,-6e-05,5.646169200000001,94102.82,0.00564617,USDT,5.434757145868261,0.0054347579159135,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,943cb91c57cfaa01,trades,trade,BTC,USDT,sell,-6e-05,5.6462238,94103.73,0.00564622,USDT,5.434809701455889,0.005434806043741,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,6811c663d6112ba2,trades,trade,BTC,USDT,sell,-6e-05,5.6462028,94103.38,0.0056462,USDT,5.43478948776834,0.00543478679261,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,2097ed83a1e828d3,trades,trade,BTC,USDT,sell,-6e-05,5.6461787999999995,94102.98,0.00564618,USDT,5.434766386411139,0.005434767541479,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,e7ab0412baeaedd9,trades,trade,BTC,USDT,sell,-0.00039,36.7005561,94103.99,0.03670056,USDT,35.326360662697454,0.035326364416668,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,df396d625912c7f3,trades,trade,BTC,USDT,sell,-0.0636,5984.998500000001,94103.75,5.9849985,USDT,5760.8995079151755,5.760899507915174,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,417e22e0087cad99,trades,trade,BTC,USDT,sell,-0.21578,20305.7589622,94103.99,20.30575896,USDT,19545.441291786814,19.545441289669185,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,594bd633a03550d3,trades,trade,BTC,USDT,sell,-6e-05,5.646194400000001,94103.24,0.00564619,USDT,5.4347814022933205,0.0054347771670445,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,f9e07b37be288f8a,trades,trade,BTC,USDT,sell,-6e-05,5.6461704,94102.84,0.00564617,USDT,5.43475830093612,0.0054347579159135,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,78047faa43b3c657,trades,trade,BTC,USDT,sell,-0.26564,24997.7839036,94103.99,24.9977839,USDT,24061.780631894748,24.061780628429545,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,6811c663d6112ba2,trades,trade,BTC,USDT,sell,-6e-05,5.6462028,94103.38,0.0056462,USDT,5.43478948776834,0.00543478679261,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,e665abbb9dd3d221,trades,trade,BTC,USDT,sell,-0.003,282.31197000000003,94103.99,0.28231197,USDT,271.74123586690354,0.2717412358669035,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,26ab3db1ef57e887,trades,trade,BTC,USDT,sell,-0.00046,43.287835400000006,94103.99,0.04328784,USDT,41.66698949959187,0.041666993927352,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,f2466763d810615f,trades,trade,BTC,USDT,sell,-0.01062,999.3843737999999,94103.99,0.99938437,USDT,961.9639749688383,0.9619639713111234,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,c46ab9c2ddadeae7,trades,trade,BTC,USDT,sell,-0.01064,1001.2664536000001,94103.99,1.00126645,USDT,963.7755832079512,0.9637755797427474,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,79410860b50df6cd,trades,trade,BTC,USDT,sell,-0.0003,28.231196999999998,94103.99,0.0282312,USDT,27.174123586690346,0.02717412647436,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,6860a8f6137669e8,trades,trade,BTC,USDT,sell,-0.2979,28033.578621,94103.99,28.03357862,USDT,26983.904721583516,26.98390472062096,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,614279164f7f452e,trades,trade,BTC,USDT,sell,-0.03083,2901.2186125,94103.75,2.90121861,USDT,2792.5869784437864,2.7925869760373954,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,4a845908e5447bcd,trades,trade,BTC,USDT,sell,-0.21286,20030.9753114,94103.99,20.03097531,USDT,19280.94648887636,19.28094648752878,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 09:57:00+00:00,binance,44d6bf6ae5fcd684,trades,trade,SOL,USDT,sell,-19.989,3861.8748,193.2,3.8618748,USDT,3717.2728840199397,3.71727288401994,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 09:57:00+00:00,binance,95df222d5faefa76,trades,trade,SOL,USDT,sell,-38.283,7396.2756,193.2,7.3962756,USDT,7119.33352438518,7.11933352438518,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 09:57:00+00:00,binance,a7177b5b3afcaeb7,trades,trade,SOL,USDT,sell,-10.794,2085.4008,193.2,2.0854008,USDT,2007.31619941524,2.0073161994152398,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 09:57:00+00:00,binance,8bc990f5b87f5534,trades,trade,SOL,USDT,sell,-50.0,9660.0,193.2,9.66,USDT,9298.296273,9.298296273,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 09:57:00+00:00,binance,ea72f5dffcf343ec,trades,trade,SOL,USDT,sell,-39.344,7601.2608,193.2,7.6012608,USDT,7316.64337129824,7.31664337129824,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 09:57:00+00:00,binance,43533653db882610,trades,trade,SOL,USDT,sell,-9.377,1811.6364,193.2,1.8116364,USDT,1743.80248303842,1.74380248303842,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 09:57:00+00:00,binance,1fa60ad342884717,trades,trade,SOL,USDT,sell,-27.92,5394.144,193.2,5.394144,USDT,5192.1686388432,5.192168638843199,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 09:57:00+00:00,binance,7acad455e66edd55,trades,trade,SOL,USDT,sell,-4.682,904.5624,193.2,0.9045624,USDT,870.69246300372,0.8706924630037199,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 09:57:00+00:00,binance,7be915a06777464d,trades,trade,SOL,USDT,sell,-22.08,4265.856,193.2,4.265856,USDT,4106.1276341568,4.1061276341568,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
